SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
TAZOBACTAM SÓDICO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;ZERBAXA;1 G + 0,5 G PO SOL INFUS CT FA VD TRANS X 10;J1C2 - PENICILINAS INJETAVEIS DE AMPLO ESPECTRO;Novo;Regulado;2503,24;2803,63;3239,84;3464,52;3015,95;3488,72;3034,23;3513,26;3052,73;3614,98;;;;;;;;;;Sim;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
FOSFATO DE TEDIZOLIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SIVEXTRO;200 MG COM REV CT BL AL PLAS TRANS X 6 ;J1X9 - TODOS OS OUTROS ANTIBIÓTICOS;Novo;Regulado;3927,09;4398,34;5082,67;5435,15;4731,43;5473,11;4760,11;5511,61;4789,13;5671,18;5900,22;6789,35;7244,64;6540,92;7293,57;6580,57;7343,16;6620,69;7548,53;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
FOSFATO DE TEDIZOLIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;SIVEXTRO;200 MG PO LIOF SOL INJ IV CT FA VD TRANS;J1X9 - TODOS OS OUTROS ANTIBIÓTICOS;Novo;Regulado;732,52;820,42;948,07;1013,82;882,55;1020,9;887,9;1028,08;893,31;1057,84;1100,56;1266,42;1351,35;1220,07;1360,47;1227,47;1369,72;1234,95;1408,02;Não;Não;Não;Não;;Negativa;Sim;Tarja Vermelha(*)
LETERMOVIR;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PRIVYMTRA;240 MG COM REV CT BL AL AL X 28;J5B3 - ANTIVIRAIS PARA HERPES;Novo;Regulado;22904,98;25653,58;29644,97;31700,85;27596,35;31922,26;27763,61;32146,78;27932,9;33077,5;34413,36;39599,28;42254,84;38150,33;42540,21;38381,56;42829,42;38615,6;44027,25;Não;Não;Não;Não;-7;Negativa;Não;Tarja Vermelha(*)
LETERMOVIR;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;5,26E+14;1E+12;7,9E+12;    -     ;    -     ;PRIVYMTRA;480 MG COM REV CT BL AL AL X 28;J5B3 - ANTIVIRAIS PARA HERPES;Novo;Regulado;24884,42;27870,56;32206,88;34440,43;29981,23;34680,98;30162,94;34924,91;30346,86;35936,05;37387,36;43021,44;45906,5;41447,29;46216,53;41698,5;46530,75;41952,75;47832,08;Não;Não;Não;Não;-7;Negativa;Não;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;200 MG COM REV CT BL AL AL X 20;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;21,91;21,91;24,9;26,4;26,4;26,56;26,56;26,72;26,72;27,39;30,29;34,42;36,5;36,5;36,72;36,72;36,94;36,94;37,87;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;100 MG COM REV CT BL AL AL X 30;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;15,3;15,3;17,39;18,43;18,43;18,55;18,55;18,66;18,66;19,13;21,15;24,04;25,48;25,48;25,64;25,64;25,8;25,8;26,45;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;200 MG COM REV CT BL AL AL X 30;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;30,65;30,65;34,83;36,93;36,93;37,15;37,15;37,38;37,38;38,31;42,37;48,15;51,05;51,05;51,36;51,36;51,68;51,68;52,96;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;100 MG COM REV CT BL AL AL X 60;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;30,61;30,61;34,78;36,88;36,88;37,1;37,1;37,33;37,33;38,26;42,32;48,08;50,98;50,98;51,29;51,29;51,61;51,61;52,89;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;200 MG COM REV CT BL AL AL X 60;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;61,3;61,3;69,66;73,86;73,86;74,3;74,3;74,76;74,76;76,63;84,74;96,3;102,11;102,11;102,72;102,72;103,35;103,35;105,94;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;100 MG COM REV CT BL AL AL X 90;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;45,91;45,91;52,17;55,31;55,31;55,65;55,65;55,99;55,99;57,39;63,47;72,12;76,46;76,46;76,93;76,93;77,4;77,4;79,34;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
CLORIDRATO DE AMIODARONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANCORON;200 MG COM REV CT BL AL AL X 90;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;91,95;91,95;104,49;110,78;110,78;111,45;111,45;112,13;112,13;114,94;127,12;144,45;153,15;153,15;154,07;154,07;155,01;155,01;158,9;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
"GESTODENO;ETINILESTRADIOL";61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;GESTINOL;0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 28 + CALEND;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG;Novo;Regulado;32,36;32,36;36,77;38,99;38,99;39,22;39,22;39,46;39,46;40,45;44,74;50,83;53,9;53,9;54,22;54,22;54,55;54,55;55,92;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"GESTODENO;ETINILESTRADIOL";61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;GESTINOL;0,030 + 0,075 MG COM REV CT ENVOL BL AL PLAS TRANS X 84 + CALEND;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG;Novo;Regulado;86,24;86,24;98;103,9;103,9;104,53;104,53;105,17;105,17;107,8;119,22;135,48;143,64;143,64;144,51;144,51;145,39;145,39;149,03;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
BROMOPRIDA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;PLAMET;10 MG COM CT BL AL PLAS PVC TRANS X 20;A3F - GASTROPROCINÉTICOS;Similar;Regulado;22,72;25,45;29,41;31,45;27,38;31,67;27,54;31,89;27,71;32,82;34,14;39,29;41,92;37,85;42,2;38,07;42,49;38,31;43,68;Não;Não;Não;Não;;Negativa;Sim;Tarja  Vermelha
BROMOPRIDA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;PLAMET;5 MG/ML SOL INJ CX 50 AMP VD AMB X 2 ML;A3F - GASTROPROCINÉTICOS;Similar;Regulado;260,37;291,62;336,99;360,36;313,7;362,88;315,61;365,43;317,53;376,01;391,2;450,15;480,33;433,67;483,58;436,31;486,87;438,97;500,48;Não;Não;Não;Não;;Negativa;Sim;Tarja  Vermelha
BROMOPRIDA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;PLAMET;5 MG/ML SOL INJ CT 5 AMP VD AMB X 2 ML;A3F - GASTROPROCINÉTICOS;Similar;Regulado;33,09;37,06;42,83;45,8;39,87;46,12;40,11;46,44;40,35;47,78;49,71;57,21;61,05;55,12;61,46;55,45;61,87;55,78;63,6;Não;Não;Não;Não;;Negativa;Sim;Tarja  Vermelha
BROMOPRIDA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;PLAMET;4 MG/ML SOL OR CT FR GOT PLAS OPC X 20 ML;A3F - GASTROPROCINÉTICOS;Similar;Regulado;21,78;24,39;28,18;30,14;26,24;30,35;26,4;30,56;26,56;31,45;32,72;37,64;40,17;36,28;40,44;36,5;40,72;36,72;41,86;Não;Não;Não;Não;;Negativa;Não;Tarja  Vermelha
SUMATRIPTANA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;SUMAX;100 MG COM REV  CT BL AL  PLAS TRANS X 2;N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS;Similar;Regulado;39,6;39,6;45;47,71;47,71;48;48;48,29;48,29;49,5;54,74;62,21;65,96;65,96;66,36;66,36;66,76;66,76;68,43;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
SUMATRIPTANA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;SUMAX;50 MG COM REV CT BL AL PLAS TRANS X 2;N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS;Similar;Regulado;20,04;20,04;22,77;24,14;24,14;24,29;24,29;24,44;24,44;25,05;27,7;31,48;33,37;33,37;33,58;33,58;33,79;33,79;34,63;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ADENOSINA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ADENOCARD;3 MG/ML SOL INJ CT 2 AMP VD AMB X 2 ML;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;41,02;41,02;46,61;49,42;49,42;49,72;49,72;50,02;50,02;51,28;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
ADENOSINA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ADENOCARD;3 MG/ML SOL INJ CT 50 AMP VD AMB X 2 ML;C1B - ANTIARRÍTMICOS CARDÍACOS;Similar;Regulado;722,72;722,72;821,27;870,75;870,75;876,02;876,02;881,37;881,37;903,4;;;;;;;;;;Sim;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;5 MG COM CT BL  AL PLAS TRANS X 20;N5C - TRANQUILIZANTES;Similar;Regulado;19,32;19,32;21,95;23,28;23,28;23,42;23,42;23,56;23,56;24,15;26,71;30,34;32,18;32,18;32,38;32,38;32,57;32,57;33,39;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;10 MG COM CT BL  AL PLAS TRANS X 20;N5C - TRANQUILIZANTES;Similar;Regulado;34,65;34,65;39,38;41,75;41,75;42;42;42,26;42,26;43,31;47,9;54,44;57,72;57,72;58,06;58,06;58,42;58,42;59,87;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;5 MG COM CT BL  AL PLAS TRANS X 60;N5C - TRANQUILIZANTES;Similar;Regulado;57,95;57,95;65,85;69,82;69,82;70,24;70,24;70,67;70,67;72,44;80,11;91,03;96,52;96,52;97,1;97,1;97,7;97,7;100,14;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;5 MG COM CT BL  AL PLAS TRANS X 90;N5C - TRANQUILIZANTES;Similar;Regulado;86,93;86,93;98,78;104,73;104,73;105,37;105,37;106,01;106,01;108,66;120,18;136,56;144,78;144,78;145,67;145,67;146,55;146,55;150,22;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;10 MG COM CT BL  AL PLAS TRANS X 60;N5C - TRANQUILIZANTES;Similar;Regulado;103,96;103,96;118,14;125,25;125,25;126,01;126,01;126,78;126,78;129,95;143,72;163,32;173,15;173,15;174,2;174,2;175,27;175,27;179,65;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;10 MG COM CT BL  AL PLAS TRANS X 90;N5C - TRANQUILIZANTES;Similar;Regulado;155,94;155,94;177,2;187,88;187,88;189,02;189,02;190,17;190,17;194,93;215,58;244,97;259,73;259,73;261,31;261,31;262,9;262,9;269,48;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
CLORIDRATO DE BUSPIRONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;ANSITEC;5 MG COM CT BL  AL PLAS TRANS X 8;N5C - TRANQUILIZANTES;Similar;Regulado;7,73;7,73;8,78;9,31;9,31;9,37;9,37;9,43;9,43;9,66;10,69;12,14;12,87;12,87;12,95;12,95;13,04;13,04;13,35;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
NITRENDIPINO;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CALTREN;10 MG COM CT 2 BL AL PLAS AMB X 15;C8A - ANTAGONISTAS DO CÁLCIO PUROS;Similar;Regulado;40,42;40,42;45,93;48,7;48,7;48,99;48,99;49,29;49,29;50,53;55,88;63,5;67,32;67,32;67,73;67,73;68,14;68,14;69,85;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
NITRENDIPINO;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CALTREN;20 MG COM CT 2 BL AL PLAS AMB X 15;C8A - ANTAGONISTAS DO CÁLCIO PUROS;Similar;Regulado;76,48;76,48;86,91;92,14;92,14;92,7;92,7;93,27;93,27;95,6;105,73;120,15;127,38;127,38;128,15;128,15;128,94;128,94;132,16;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
FLUCONAZOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;FLUCONAL;150 MG CAP DURA CT BL AL PLAS  TRANS X 01;J2A - AGENTES SISTÊMICOS PARA INFECÇÕES FÚNGICAS;Similar;Regulado;25,2;25,2;28,64;30,36;30,36;30,55;30,55;30,73;30,73;31,5;34,84;39,59;41,97;41,97;42,23;42,23;42,48;42,48;43,55;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
FLUOXETINA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;VEROTINA;20 MG COM REV CT BL AL PLAS INC X 28;N6A4 - ANTIDEPRESSIVOS SSRI;Similar;Regulado;66,72;66,72;75,82;80,39;80,39;80,87;80,87;81,37;81,37;83,4;92,24;104,82;111,13;111,13;111,8;111,8;112,49;112,49;115,3;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
FLUOXETINA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;VEROTINA;20 MG/ML SOL OR CT FR PLAS OPC GOT X 20 ML;N6A4 - ANTIDEPRESSIVOS SSRI;Similar;Regulado;44,44;44,44;50,5;53,54;53,54;53,87;53,87;54,2;54,2;55,55;61,44;69,81;74,02;74,02;74,47;74,47;74,93;74,93;76,79;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CLORIDRATO DE TRAMADOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;SENSITRAM;100 MG COM REV LIB RETARD CT BL AL PLAS INC X 30;N2A - ANALGÉSICOS NARCÓTICOS;Similar;Regulado;105,36;105,36;119,73;126,94;126,94;127,71;127,71;128,49;128,49;131,7;145,65;165,52;175,49;175,49;176,55;176,55;177,63;177,63;182,07;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
DEFLAZACORTE;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;DEFLANIL;30 MG COM CT BL AL PLAS INC X 10;H2A2 - CORTICOSTERÓIDES ORAIS PUROS;Similar;Regulado;100,45;100,45;114,15;121,02;121,02;121,76;121,76;122,5;122,5;125,56;138,87;157,81;167,3;167,3;168,33;168,33;169,35;169,35;173,58;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
DEFLAZACORTE;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;DEFLANIL;7,5 MG COM CT BL AL PLAS INC X 20;H2A2 - CORTICOSTERÓIDES ORAIS PUROS;Similar;Regulado;50,25;50,25;57,1;60,54;60,54;60,91;60,91;61,28;61,28;62,81;69,47;78,94;83,69;83,69;84,2;84,2;84,72;84,72;86,83;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;25 MG COM CT BL AL PLAS TRANS X 30;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;37,52;37,52;42,64;45,2;45,2;45,48;45,48;45,76;45,76;46,9;51,87;58,95;62,49;62,49;62,87;62,87;63,26;63,26;64,84;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;6,250 MG COM CT BL AL PLAS TRANS X 30;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;23,09;23,09;26,24;27,82;27,82;27,99;27,99;28,16;28,16;28,86;31,92;36,28;38,46;38,46;38,69;38,69;38,93;38,93;39,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;12,50 MG COM CT BL AL PLAS TRANS X 30;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;23,09;23,09;26,24;27,82;27,82;27,99;27,99;28,16;28,16;28,86;31,92;36,28;38,46;38,46;38,69;38,69;38,93;38,93;39,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;3,125 MG COM CT BL AL PLAS TRANS X 30;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;23,09;23,09;26,24;27,82;27,82;27,99;27,99;28,16;28,16;28,86;31,92;36,28;38,46;38,46;38,69;38,69;38,93;38,93;39,9;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;6,250 MG COM CT BL AL PLAS TRANS X 60;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;43,56;43,56;49,5;52,48;52,48;52,8;52,8;53,12;53,12;54,45;60,22;68,43;72,55;72,55;72,99;72,99;73,44;73,44;75,27;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;12,50 MG COM CT BL AL PLAS TRANS X 60;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;43,56;43,56;49,5;52,48;52,48;52,8;52,8;53,12;53,12;54,45;60,22;68,43;72,55;72,55;72,99;72,99;73,44;73,44;75,27;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
CARVEDILOL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;CARDILOL;25 MG COM CT BL AL PLAS TRANS X 60;C7A0 - BETABLOQUEADORES PUROS;Similar;Regulado;56,71;56,71;64,44;68,33;68,33;68,74;68,74;69,16;69,16;70,89;78,4;89,08;94,46;94,46;95,03;95,03;95,61;95,61;98;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
AZITROMICINA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;SELIMAX;500 MG COM REV CT BL AL PLAS INC X 09;J1F - MACROLIDEOS E SIMILARES;Similar;Regulado;40,29;40,29;45,78;48,54;48,54;48,84;48,84;49,13;49,13;50,36;55,7;63,29;67,1;67,1;67,52;67,52;67,92;67,92;69,62;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"GESTODENO;ETINILESTRADIOL";61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;DIMINUT;0,075 MG + 0,02 MG COM REV CT BL AL PLAS TRANS X 21 CALEND;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG;Similar;Regulado;23,94;23,94;27,2;28,84;28,84;29,02;29,02;29,2;29,2;29,93;33,1;37,6;39,87;39,87;40,12;40,12;40,37;40,37;41,38;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
"GESTODENO;ETINILESTRADIOL";61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;DIMINUT;0,075 MG + 0,02 MG COM REV CT 3  BL AL PLAS TRANS  X 21 CALEND;G3A1 - HORMÔNIOS CONTRACEPTIVOS MONOFÁSICOS COM ESTROGÊNIOS <50MCG;Similar;Regulado;63,83;63,83;72,53;76,9;76,9;77,37;77,37;77,84;77,84;79,79;88,24;100,27;106,31;106,31;106,96;106,96;107,61;107,61;110,3;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;2,5 MG COM CT BL AL AL X 30;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;41,52;41,52;47,18;50,02;50,02;50,33;50,33;50,63;50,63;51,9;57,4;65,22;69,15;69,15;69,58;69,58;69,99;69,99;71,75;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;5 MG COM CT BL AL AL X 30;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;41,52;41,52;47,18;50,02;50,02;50,33;50,33;50,63;50,63;51,9;57,4;65,22;69,15;69,15;69,58;69,58;69,99;69,99;71,75;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;10 MG COM CT BL AL AL X 30;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;41,52;41,52;47,18;50,02;50,02;50,33;50,33;50,63;50,63;51,9;57,4;65,22;69,15;69,15;69,58;69,58;69,99;69,99;71,75;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;2,5 MG COM CT BL AL AL X 90;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;124,57;124,57;141,56;150,08;150,08;150,99;150,99;151,91;151,91;155,71;172,21;195,7;207,48;207,48;208,73;208,73;210,01;210,01;215,26;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;5 MG COM CT BL AL AL X 90;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;124,57;124,57;141,56;150,08;150,08;150,99;150,99;151,91;151,91;155,71;172,21;195,7;207,48;207,48;208,73;208,73;210,01;210,01;215,26;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
RAMIPRIL;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;NAPRIX;10 MG COM CT BL AL AL X 90;C9A - INIBIDORES DA ECA PUROS;Similar;Regulado;124,57;124,57;141,56;150,08;150,08;150,99;150,99;151,91;151,91;155,71;172,21;195,7;207,48;207,48;208,73;208,73;210,01;210,01;215,26;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
TIBOLONA;61.230.314/0001-75;LIBBS FARMACÊUTICA LTDA;5,24E+14;1E+12;7,9E+12;    -     ;    -     ;LIBIAM;2,5 MG COM CT BL AL PLAS TRANS X 28;G3X - OUTROS HORMÔNIOS SEXUAIS E PRODUTOS SIMILARES;Similar;Regulado;52,23;52,23;59,35;62,93;62,93;63,31;63,31;63,7;63,7;65,29;72,2;82,05;87;87;87,52;87,52;88,06;88,06;90,26;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
